,magnitude,depth,cdi,mmi,sig,alert
238,6.6,50.0,4.0,6.0,-97.0,green
206,6.5,29.0,7.0,8.0,17.0,green
77,6.7,10.0,8.0,8.0,8.0,green
1264,7.74,20.0,8.0,7.0,-3.0,yellow
598,6.91,25.0,8.0,8.0,61.0,orange
629,7.3,13.0,9.0,8.0,13.0,orange
370,6.8,12.0,7.0,7.0,-19.0,orange
795,7.7,15.0,5.0,8.0,-32.0,red
41,6.9,535.0,4.0,3.0,-28.0,green
429,7.26,18.0,8.0,7.0,29.0,orange
1068,6.9,18.0,9.0,8.0,112.0,yellow
895,7.2,10.0,8.0,8.0,26.0,red
1181,7.13,17.0,7.0,7.0,105.0,yellow
1206,7.18,21.0,7.0,7.0,104.0,yellow
1057,7.35,24.0,8.0,7.0,-32.0,yellow
1239,7.41,25.0,8.0,7.0,0.0,yellow
801,7.26,18.0,6.0,8.0,-47.0,red
401,6.6,18.0,0.0,6.0,-98.0,green
148,6.5,10.0,3.0,4.0,-99.0,green
43,6.5,21.0,7.0,5.0,-84.0,green
605,6.82,68.0,8.0,8.0,67.0,orange
50,6.9,33.0,5.0,4.0,-30.0,green
352,6.8,16.0,5.0,5.0,-69.0,green
126,7.1,146.0,7.0,6.0,58.0,yellow
259,6.9,21.0,8.0,5.0,-30.0,green
1053,7.62,23.0,9.0,7.0,9.0,yellow
1260,7.58,116.0,7.0,7.0,-60.0,yellow
1099,6.5,12.0,9.0,8.0,-35.0,yellow
175,7.5,25.0,9.0,8.0,-81.0,yellow
311,6.6,20.0,7.0,6.0,-59.0,green
173,6.8,22.0,6.0,6.0,-49.0,green
759,7.3,19.0,8.0,8.0,-25.0,red
493,6.77,26.0,7.0,7.0,-4.0,orange
1166,6.98,26.0,8.0,7.0,105.0,yellow
373,6.5,20.0,0.0,6.0,-118.0,green
362,6.6,27.0,6.0,7.0,-45.0,green
1171,6.76,15.0,8.0,7.0,53.0,yellow
498,6.66,52.0,8.0,8.0,58.0,orange
1154,6.6,14.0,9.0,7.0,12.0,yellow
52,8.1,22.0,0.0,7.0,-15.0,green
685,7.13,19.0,8.0,7.0,32.0,orange
312,6.6,23.0,1.0,5.0,-98.0,green
281,6.5,6.0,0.0,5.0,-118.0,green
1139,6.72,10.0,5.0,7.0,-35.0,yellow
776,7.0,14.0,8.0,8.0,-4.0,red
1253,7.47,24.0,9.0,7.0,-80.0,yellow
1102,6.74,35.0,7.0,7.0,118.0,yellow
248,6.7,27.0,7.0,5.0,-76.0,green
406,7.0,8.0,0.0,6.0,-14.0,green
196,6.6,10.0,5.0,4.0,-64.0,green
1165,6.95,13.0,3.0,7.0,-35.0,yellow
1044,6.77,34.0,6.0,6.0,10.0,yellow
237,7.7,196.0,5.0,6.0,-53.0,green
394,7.7,80.0,8.0,8.0,-115.0,yellow
303,6.5,10.0,0.0,5.0,-118.0,green
862,7.1,24.0,8.0,7.0,53.0,red
689,7.5,77.0,9.0,8.0,85.0,orange
171,6.9,35.0,9.0,6.0,-27.0,green
364,6.6,9.0,8.0,5.0,-76.0,green
35,6.6,13.0,9.0,8.0,-12.0,orange
1104,7.34,24.0,8.0,7.0,-2.0,yellow
1038,7.11,8.0,8.0,8.0,109.0,yellow
383,6.6,10.0,0.0,7.0,-98.0,green
260,7.2,22.0,4.0,7.0,59.0,green
64,6.9,43.0,7.0,6.0,-105.0,green
1163,7.7,16.0,8.0,6.0,23.0,yellow
1097,6.81,10.0,4.0,7.0,-35.0,yellow
338,7.5,43.0,0.0,6.0,97.0,green
719,6.92,10.0,8.0,8.0,27.0,red
117,7.2,18.0,7.0,7.0,41.0,green
695,6.93,10.0,8.0,8.0,-2.0,orange
0,7.0,14.0,8.0,7.0,0.0,green
266,6.7,12.0,5.0,4.0,-66.0,green
329,6.9,8.0,0.0,5.0,-36.0,green
543,6.53,11.0,7.0,7.0,-5.0,orange
1002,7.27,33.0,9.0,8.0,76.0,red
1276,7.65,55.0,8.0,7.0,-115.0,yellow
444,6.69,10.0,8.0,8.0,-30.0,orange
868,6.6,9.0,8.0,8.0,26.0,red
10,6.9,10.0,9.0,9.0,119.0,yellow
957,7.17,10.0,8.0,8.0,27.0,red
258,6.6,85.0,8.0,6.0,-3.0,green
1067,7.1,145.0,6.0,6.0,55.0,yellow
1080,7.18,146.0,7.0,6.0,48.0,yellow
1210,6.61,13.0,6.0,7.0,-108.0,yellow
516,6.85,18.0,7.0,7.0,-8.0,orange
786,6.61,14.0,8.0,7.0,35.0,red
683,6.79,11.0,7.0,7.0,-19.0,orange
593,6.97,40.0,8.0,7.0,59.0,orange
856,7.2,9.0,9.0,8.0,64.0,red
1170,6.73,17.0,7.0,7.0,-103.0,yellow
658,7.0,22.0,8.0,8.0,64.0,orange
359,6.5,371.0,3.0,4.0,-117.0,green
343,7.6,22.0,0.0,7.0,121.0,green
116,6.6,181.0,0.0,4.0,-98.0,green
434,6.96,40.0,8.0,8.0,69.0,orange
1242,6.82,38.0,6.0,6.0,12.0,yellow
85,6.9,624.0,4.0,3.0,-19.0,green
419,6.77,11.0,7.0,7.0,-17.0,orange
1209,6.88,89.0,7.0,6.0,-94.0,yellow
747,6.6,13.0,8.0,8.0,33.0,red
12,7.0,137.0,7.0,5.0,-7.0,green
1052,8.22,18.0,9.0,7.0,3.0,yellow
451,7.14,14.0,8.0,7.0,25.0,orange
316,6.7,22.0,7.0,4.0,-70.0,green
867,6.71,8.0,8.0,8.0,22.0,red
127,6.8,15.0,5.0,6.0,-51.0,green
308,6.7,223.0,4.0,6.0,-68.0,green
201,6.6,12.0,7.0,7.0,-90.0,green
684,7.41,20.0,8.0,8.0,-43.0,orange
562,6.81,12.0,7.0,7.0,-18.0,orange
244,7.8,20.0,9.0,9.0,-117.0,orange
1289,6.9,13.0,9.0,8.0,116.0,yellow
130,7.5,145.0,7.0,7.0,121.0,yellow
488,7.07,38.0,8.0,7.0,-4.0,orange
29,6.5,110.0,8.0,6.0,-78.0,green
1061,6.58,13.0,6.0,7.0,-46.0,yellow
11,6.5,10.0,7.0,7.0,-12.0,green
828,6.6,13.0,8.0,8.0,34.0,red
381,6.6,56.0,4.0,6.0,-94.0,green
958,7.26,9.0,8.0,9.0,18.0,red
284,6.9,29.0,4.0,7.0,-34.0,green
992,8.12,46.0,9.0,7.0,93.0,red
34,6.6,21.0,6.0,6.0,-48.0,green
194,6.6,7.0,7.0,7.0,40.0,yellow
402,6.9,145.0,5.0,5.0,-120.0,green
804,7.21,12.0,9.0,8.0,31.0,red
369,6.5,41.0,0.0,4.0,-118.0,green
115,6.8,25.0,6.0,6.0,-77.0,green
183,6.6,13.0,4.0,5.0,-92.0,green
1008,6.7,12.0,8.0,8.0,32.0,red
339,6.6,29.0,0.0,6.0,-98.0,green
1049,7.84,27.0,9.0,8.0,57.0,yellow
1292,7.25,42.0,7.0,6.0,-115.0,yellow
70,8.1,28.0,9.0,8.0,-3.0,green
1060,7.42,124.0,7.0,7.0,-40.0,yellow
386,6.7,624.0,0.0,3.0,-77.0,green
94,6.6,165.0,5.0,4.0,-34.0,green
806,7.99,39.0,9.0,7.0,80.0,red
1149,7.17,20.0,7.0,7.0,105.0,yellow
299,6.7,31.0,5.0,6.0,-76.0,green
911,7.05,11.0,8.0,8.0,23.0,red
746,7.48,19.0,8.0,8.0,-22.0,red
84,6.5,10.0,4.0,5.0,-117.0,green
141,7.5,10.0,3.0,6.0,103.0,green
1208,7.72,15.0,9.0,7.0,7.0,yellow
1073,7.7,78.0,8.0,7.0,-115.0,yellow
1123,7.47,138.0,7.0,6.0,-18.0,yellow
521,6.62,11.0,7.0,7.0,-4.0,orange
65,6.5,246.0,4.0,4.0,-117.0,green
1115,6.5,9.0,5.0,7.0,-58.0,yellow
559,6.91,17.0,8.0,7.0,-15.0,orange
1138,7.7,21.0,8.0,8.0,32.0,yellow
354,6.5,14.0,5.0,4.0,-87.0,green
57,6.7,110.0,8.0,5.0,-89.0,green
1109,6.78,39.0,8.0,6.0,110.0,yellow
1251,7.19,21.0,7.0,7.0,104.0,yellow
293,6.8,11.0,1.0,4.0,-57.0,green
670,6.66,52.0,8.0,8.0,59.0,orange
1051,7.79,22.0,9.0,7.0,53.0,yellow
139,7.1,133.0,0.0,5.0,8.0,green
714,6.64,33.0,8.0,8.0,52.0,orange
544,6.89,10.0,7.0,7.0,-2.0,orange
1218,6.93,36.0,6.0,6.0,9.0,yellow
177,7.9,14.0,9.0,4.0,78.0,green
749,6.73,12.0,8.0,8.0,47.0,red
397,6.5,28.0,0.0,6.0,-118.0,green
221,6.6,8.0,5.0,4.0,96.0,green
318,6.6,53.0,2.0,6.0,-97.0,green
875,7.79,8.0,8.0,8.0,2.0,red
963,7.32,10.0,8.0,8.0,16.0,red
1045,6.5,12.0,7.0,7.0,-76.0,yellow
979,7.79,8.0,7.0,8.0,0.0,red
242,6.7,16.0,5.0,7.0,-24.0,green
947,6.97,11.0,8.0,8.0,30.0,red
1169,6.68,18.0,6.0,7.0,-76.0,yellow
1140,7.85,135.0,8.0,6.0,-34.0,yellow
1270,8.14,25.0,9.0,8.0,52.0,yellow
144,6.7,10.0,3.0,4.0,-75.0,green
1136,7.54,39.0,8.0,7.0,-127.0,yellow
1025,7.25,38.0,8.0,8.0,88.0,red
1024,7.5,21.0,9.0,7.0,47.0,red
305,7.5,41.0,6.0,7.0,104.0,green
945,7.94,37.0,9.0,7.0,94.0,red
738,6.6,10.0,8.0,8.0,28.0,red
140,6.6,10.0,0.0,4.0,-98.0,green
649,6.79,11.0,7.0,7.0,-18.0,orange
83,6.8,21.0,6.0,7.0,56.0,green
103,7.7,14.0,9.0,6.0,20.0,yellow
230,6.6,614.0,3.0,3.0,-91.0,green
1198,7.03,143.0,5.0,6.0,18.0,yellow
455,6.75,49.0,8.0,7.0,-37.0,orange
38,7.5,126.0,8.0,8.0,70.0,yellow
8,6.8,20.0,8.0,7.0,-101.0,yellow
531,7.26,20.0,8.0,7.0,-30.0,orange
304,6.5,11.0,2.0,5.0,-118.0,green
1035,6.5,13.0,8.0,7.0,-41.0,yellow
1122,7.14,47.0,7.0,6.0,-115.0,yellow
499,6.6,12.0,8.0,7.0,-12.0,orange
1108,7.49,16.0,8.0,7.0,46.0,yellow
1118,6.75,16.0,8.0,7.0,-35.0,yellow
1195,7.07,22.0,5.0,7.0,-37.0,yellow
997,7.86,44.0,9.0,7.0,93.0,red
998,7.02,9.0,9.0,8.0,26.0,red
411,7.4,24.0,8.0,7.0,-81.0,yellow
464,7.28,15.0,8.0,7.0,27.0,orange
59,6.5,25.0,0.0,4.0,-118.0,green
1120,6.71,12.0,8.0,7.0,48.0,yellow
169,6.9,5.0,7.0,8.0,112.0,yellow
666,6.83,25.0,8.0,8.0,-68.0,orange
165,8.2,600.0,5.0,4.0,26.0,green
241,6.9,29.0,8.0,7.0,12.0,green
1202,6.74,17.0,7.0,7.0,-103.0,yellow
1119,7.3,21.0,9.0,8.0,9.0,yellow
153,6.7,550.0,2.0,3.0,-77.0,green
842,7.25,19.0,8.0,8.0,-31.0,red
492,7.78,111.0,8.0,8.0,92.0,orange
809,7.72,11.0,8.0,8.0,-2.0,red
1180,6.77,16.0,6.0,7.0,-115.0,yellow
481,7.04,13.0,9.0,8.0,15.0,orange
332,6.5,10.0,0.0,5.0,-118.0,green
1250,6.75,15.0,7.0,7.0,-112.0,yellow
1076,6.64,53.0,7.0,6.0,116.0,yellow
151,6.5,20.0,0.0,4.0,-118.0,green
202,6.5,15.0,0.0,4.0,-118.0,green
1084,7.01,19.0,7.0,7.0,-113.0,yellow
554,7.07,17.0,8.0,8.0,-29.0,orange
628,6.9,52.0,8.0,7.0,55.0,orange
872,7.63,11.0,8.0,9.0,-6.0,red
319,7.1,434.0,3.0,6.0,8.0,green
6,6.8,630.0,1.0,3.0,-57.0,green
324,6.9,615.0,0.0,6.0,-36.0,green
267,6.9,10.0,5.0,6.0,-24.0,green
133,6.7,63.0,8.0,8.0,64.0,orange
1034,6.5,9.0,7.0,7.0,-105.0,yellow
276,6.7,23.0,5.0,7.0,-50.0,green
564,7.8,20.0,8.0,8.0,-62.0,orange
923,7.23,19.0,9.0,8.0,93.0,red
1069,6.68,11.0,6.0,8.0,-36.0,yellow
74,7.7,10.0,9.0,4.0,-106.0,green
1072,7.49,145.0,7.0,6.0,119.0,yellow
918,7.01,19.0,8.0,8.0,-54.0,red
1091,6.96,18.0,8.0,7.0,-34.0,yellow
437,6.96,19.0,7.0,7.0,-11.0,orange
1187,6.87,31.0,8.0,6.0,107.0,yellow
357,6.5,44.0,0.0,3.0,-118.0,green
2,7.0,579.0,3.0,3.0,-13.0,green
441,7.35,15.0,8.0,7.0,25.0,orange
970,7.8,8.0,7.0,8.0,3.0,red
410,6.8,45.0,6.0,7.0,3.0,green
836,6.77,8.0,8.0,8.0,21.0,red
894,7.28,12.0,8.0,8.0,14.0,red
1274,7.09,27.0,7.0,6.0,-2.0,yellow
320,7.3,40.0,8.0,6.0,-42.0,yellow
645,6.6,35.0,8.0,8.0,51.0,orange
903,7.79,8.0,7.0,8.0,0.0,red
20,6.8,220.0,6.0,5.0,-6.0,green
296,7.1,10.0,1.0,6.0,8.0,green
384,6.5,30.0,5.0,6.0,-89.0,green
62,6.7,11.0,8.0,4.0,-70.0,green
1142,6.99,30.0,8.0,6.0,-45.0,yellow
1100,7.43,26.0,8.0,7.0,-116.0,yellow
387,8.3,598.0,5.0,5.0,91.0,green
351,6.7,20.0,7.0,7.0,-50.0,green
855,6.6,10.0,8.0,8.0,28.0,red
447,6.92,19.0,7.0,7.0,-8.0,orange
314,6.8,39.0,6.0,5.0,-55.0,green
1183,7.26,142.0,7.0,6.0,35.0,yellow
400,6.6,11.0,0.0,7.0,-98.0,green
1228,7.59,28.0,8.0,6.0,-115.0,yellow
1279,8.45,20.0,8.0,7.0,0.0,yellow
376,7.0,29.0,5.0,6.0,-10.0,green
14,6.6,12.0,9.0,8.0,19.0,orange
121,7.3,212.0,4.0,6.0,-72.0,green
413,8.6,20.0,9.0,7.0,0.0,yellow
1059,7.19,144.0,6.0,6.0,22.0,yellow
172,6.7,40.0,5.0,6.0,-72.0,green
1063,6.5,10.0,6.0,7.0,-52.0,yellow
233,7.0,19.0,5.0,6.0,-127.0,green
1074,6.88,14.0,8.0,7.0,-33.0,yellow
1241,6.81,61.0,6.0,6.0,-115.0,yellow
286,6.5,20.0,4.0,4.0,-82.0,green
1236,6.6,7.0,7.0,7.0,37.0,yellow
1081,6.5,16.0,5.0,7.0,-73.0,yellow
983,7.74,12.0,6.0,8.0,-18.0,red
176,7.2,22.0,7.0,7.0,104.0,yellow
1141,7.28,74.0,7.0,7.0,-115.0,yellow
220,7.8,40.0,9.0,8.0,-63.0,green
1156,7.52,26.0,8.0,7.0,-114.0,yellow
675,7.18,14.0,8.0,7.0,25.0,orange
88,6.6,10.0,9.0,8.0,16.0,yellow
1271,7.13,32.0,9.0,8.0,68.0,yellow
941,6.6,13.0,8.0,8.0,33.0,red
720,7.85,34.0,9.0,7.0,70.0,red
247,6.6,212.0,6.0,4.0,-30.0,green
1215,7.17,20.0,7.0,7.0,105.0,yellow
880,7.38,41.0,9.0,7.0,93.0,red
310,6.5,8.0,1.0,4.0,-118.0,green
291,6.8,10.0,1.0,5.0,-57.0,green
161,7.1,630.0,0.0,3.0,8.0,green
309,6.8,219.0,1.0,4.0,-57.0,green
268,6.9,12.0,6.0,6.0,-7.0,green
608,6.74,54.0,8.0,7.0,-19.0,orange
203,6.8,169.0,6.0,5.0,-55.0,green
1230,6.61,10.0,8.0,7.0,-74.0,yellow
770,7.19,19.0,8.0,8.0,-36.0,red
1214,7.48,89.0,7.0,6.0,-48.0,yellow
585,6.51,11.0,7.0,7.0,-6.0,orange
726,6.79,12.0,8.0,8.0,54.0,red
1036,6.97,30.0,9.0,7.0,68.0,yellow
1114,7.5,126.0,8.0,7.0,69.0,yellow
463,6.85,14.0,7.0,7.0,-16.0,orange
1232,6.9,8.0,8.0,8.0,117.0,yellow
841,7.07,15.0,8.0,8.0,-9.0,red
1153,7.11,145.0,7.0,6.0,58.0,yellow
1058,7.1,101.0,8.0,6.0,-80.0,yellow
132,6.7,13.0,0.0,3.0,-77.0,green
33,6.8,20.0,7.0,6.0,-38.0,green
162,6.5,9.0,6.0,7.0,-116.0,green
188,6.6,22.0,3.0,5.0,-94.0,green
1185,6.55,16.0,6.0,7.0,-74.0,yellow
534,7.18,19.0,8.0,7.0,-4.0,orange
37,7.3,14.0,9.0,5.0,86.0,green
24,6.7,24.0,8.0,7.0,38.0,green
711,7.28,18.0,8.0,7.0,32.0,orange
1205,7.9,114.0,9.0,7.0,-44.0,yellow
1268,8.12,34.0,8.0,7.0,-28.0,yellow
277,6.5,27.0,6.0,7.0,-111.0,green
898,7.09,9.0,9.0,9.0,57.0,red
425,8.02,20.0,9.0,8.0,-104.0,orange
347,7.7,22.0,8.0,9.0,33.0,yellow
110,6.6,15.0,9.0,7.0,12.0,yellow
9,7.6,26.0,9.0,8.0,7.0,yellow
4,6.6,624.0,0.0,2.0,-98.0,green
847,7.1,20.0,8.0,8.0,-49.0,red
113,6.6,16.0,0.0,4.0,-98.0,green
106,7.1,33.0,6.0,6.0,31.0,green
1186,7.0,10.0,7.0,7.0,109.0,yellow
1121,6.59,10.0,8.0,7.0,-35.0,yellow
742,7.36,21.0,9.0,8.0,46.0,red
294,6.8,35.0,8.0,6.0,63.0,green
626,7.68,15.0,8.0,8.0,13.0,orange
214,6.9,12.0,6.0,4.0,-26.0,green
936,6.85,11.0,8.0,8.0,60.0,red
638,7.7,19.0,8.0,8.0,-106.0,orange
701,7.26,13.0,8.0,8.0,2.0,orange
1164,7.57,26.0,8.0,7.0,-31.0,yellow
396,7.0,66.0,3.0,7.0,-13.0,green
1070,7.38,68.0,7.0,7.0,-104.0,yellow
1297,7.48,142.0,7.0,6.0,120.0,yellow
45,7.1,6.0,1.0,4.0,8.0,green
122,7.3,46.0,8.0,6.0,62.0,green
240,6.9,405.0,3.0,3.0,-35.0,green
31,6.6,33.0,8.0,6.0,17.0,green
491,7.25,175.0,8.0,7.0,-66.0,orange
777,7.13,9.0,9.0,9.0,70.0,red
1048,6.74,19.0,7.0,7.0,-99.0,yellow
1145,6.5,11.0,9.0,8.0,-32.0,yellow
224,6.9,10.0,5.0,4.0,87.0,green
290,6.8,72.0,5.0,6.0,-6.0,green
18,7.2,236.0,7.0,5.0,108.0,green
999,7.17,18.0,7.0,8.0,-50.0,red
30,6.5,8.0,7.0,4.0,-117.0,green
632,7.2,17.0,7.0,7.0,-34.0,orange
1291,8.33,21.0,9.0,7.0,1.0,yellow
129,7.0,267.0,7.0,4.0,101.0,green
1001,6.99,16.0,8.0,8.0,10.0,red
812,7.17,10.0,9.0,8.0,26.0,red
160,7.1,21.0,2.0,5.0,8.0,green
581,7.17,14.0,8.0,8.0,-3.0,orange
408,8.0,24.0,8.0,7.0,-31.0,green
1087,7.0,44.0,6.0,7.0,28.0,yellow
549,6.69,10.0,8.0,8.0,-31.0,orange
1014,7.51,16.0,6.0,8.0,-29.0,red
1294,7.65,23.0,7.0,8.0,32.0,yellow
528,6.89,34.0,8.0,7.0,-85.0,orange
54,7.1,55.0,9.0,7.0,78.0,green
1296,7.85,93.0,8.0,6.0,-51.0,yellow
1290,7.64,13.0,9.0,6.0,19.0,yellow
1039,7.74,31.0,7.0,7.0,-21.0,yellow
1085,6.54,11.0,6.0,7.0,-101.0,yellow
5,7.0,660.0,4.0,3.0,-13.0,green
1103,7.44,15.0,9.0,6.0,30.0,yellow
98,6.8,96.0,4.0,6.0,-30.0,green
951,7.21,18.0,7.0,8.0,-49.0,red
348,6.5,24.0,7.0,7.0,-98.0,green
454,7.46,15.0,8.0,7.0,21.0,orange
119,6.9,35.0,7.0,5.0,-21.0,green
515,6.89,32.0,8.0,7.0,-13.0,orange
984,7.21,12.0,9.0,8.0,93.0,red
55,8.2,46.0,8.0,6.0,-43.0,green
768,6.78,8.0,9.0,8.0,24.0,red
178,7.1,39.0,9.0,7.0,51.0,green
392,7.2,110.0,5.0,7.0,36.0,green
76,7.0,80.0,7.0,5.0,34.0,green
